Project,Model,TopN,C_index
TCGA-LUAD,m+hm,30,0.656905425
TCGA-LUAD,m+hm,40,0.654763551
TCGA-LUAD,m+hm,50,0.649838087
TCGA-LUAD,m+hm,60,0.665733519
TCGA-LUAD,m+hm,70,0.667219281
TCGA-LUAD,m+hm,80,0.673611459
TCGA-LUAD,m+hm,90,0.693254117
TCGA-LUAD,m+hm,100,0.699644295
TCGA-LUSC,m,5,0.617716316
TCGA-LUSC,m,10,0.609877823
TCGA-LUSC,m,20,0.624040602
TCGA-LUSC,m,30,0.640296953
TCGA-LUSC,m,40,0.649184251
TCGA-LUSC,m,50,0.659244979
TCGA-LUSC,m,60,0.660044211
TCGA-LUSC,m,70,0.657789417
TCGA-LUSC,m,80,0.651196411
TCGA-LUSC,m,90,0.643844321
TCGA-LUSC,m,100,0.641369774
TCGA-LUSC,hm,5,0.670414017
TCGA-LUSC,hm,10,0.663019602
TCGA-LUSC,hm,20,0.677976107
TCGA-LUSC,hm,30,0.684078764
TCGA-LUSC,hm,40,0.683544218
TCGA-LUSC,hm,50,0.681831202
TCGA-LUSC,hm,60,0.685360827
TCGA-LUSC,hm,70,0.687681384
TCGA-LUSC,hm,80,0.697915735
TCGA-LUSC,hm,90,0.695286689
TCGA-LUSC,hm,100,0.692327587
TCGA-LUSC,m+hm,5,0.66933317
TCGA-LUSC,m+hm,10,0.667330962
TCGA-LUSC,m+hm,20,0.679907507
TCGA-LUSC,m+hm,30,0.685177562
TCGA-LUSC,m+hm,40,0.684148082
TCGA-LUSC,m+hm,50,0.690758311
TCGA-LUSC,m+hm,60,0.691492754
TCGA-LUSC,m+hm,70,0.691408072
TCGA-LUSC,m+hm,80,0.694712897
TCGA-LUSC,m+hm,90,0.688033675
TCGA-LUSC,m+hm,100,0.685580045
TCGA-PAAD,m,5,0.708121201
TCGA-PAAD,m,10,0.707205175
TCGA-PAAD,m,20,0.735987317
TCGA-PAAD,m,30,0.752239145
TCGA-PAAD,m,40,0.745306213
TCGA-PAAD,m,50,0.731847157
TCGA-PAAD,m,60,0.733276008
TCGA-PAAD,m,70,0.740220374
TCGA-PAAD,m,80,0.741685776
TCGA-PAAD,m,90,0.728599511
TCGA-PAAD,m,100,0.725048286
TCGA-PAAD,hm,5,0.644986735
TCGA-PAAD,hm,10,0.676942989
TCGA-PAAD,hm,20,0.665723851
TCGA-PAAD,hm,30,0.671162966
TCGA-PAAD,hm,40,0.659832709
TCGA-PAAD,hm,50,0.651582512
TCGA-PAAD,hm,60,0.674114282
TCGA-PAAD,hm,70,0.679334546
TCGA-PAAD,hm,80,0.681416389
TCGA-PAAD,hm,90,0.674898374
TCGA-PAAD,hm,100,0.671221001
TCGA-PAAD,m+hm,5,0.703117487
TCGA-PAAD,m+hm,10,0.703382498
TCGA-PAAD,m+hm,20,0.724115775
TCGA-PAAD,m+hm,30,0.728696509
TCGA-PAAD,m+hm,40,0.719468518
TCGA-PAAD,m+hm,50,0.712982463
TCGA-PAAD,m+hm,60,0.718269381
TCGA-PAAD,m+hm,70,0.726155885
TCGA-PAAD,m+hm,80,0.722075868
TCGA-PAAD,m+hm,90,0.715842547
TCGA-PAAD,m+hm,100,0.713684999
TCGA-PRAD,m,5,0.793470316
TCGA-PRAD,m,10,0.829138661
TCGA-PRAD,m,20,0.831958306
TCGA-PRAD,m,30,0.679906581
TCGA-PRAD,m,40,0.647805237
TCGA-PRAD,m,50,0.65362223
TCGA-PRAD,m,60,0.621530487
TCGA-PRAD,m,70,0.558954503
TCGA-PRAD,m,80,0.555110617
TCGA-PRAD,m,90,0.603347471
TCGA-PRAD,m,100,0.535942244
TCGA-PRAD,hm,5,0.870947046
TCGA-PRAD,hm,10,0.80659269
TCGA-PRAD,hm,20,0.837805841
